ID,TARGET
2,0.038
5,0.026
6,0.0
7,0.0
9,0.0
11,0.15
12,0.144
15,0.052
16,0.002
17,0.184
19,0.008
21,0.0
22,0.058
24,0.0
27,0.006
28,0.02
30,0.192
33,0.0
35,0.0
37,0.0
38,0.0
40,0.0
41,0.0
44,0.066
46,0.35
47,0.002
48,0.0
50,0.0
52,0.018
53,0.0
55,0.544
57,0.104
58,0.0
59,0.0
62,0.0
63,0.024
64,0.0
65,0.002
67,0.0
69,0.0
70,0.0
71,0.328
72,0.012
73,0.0
76,0.002
78,0.0
79,0.08
81,0.004
85,0.0
86,0.004
89,0.0
94,0.042
96,0.0
97,0.04
98,0.0
99,0.0
100,0.442
103,0.064
104,0.0
108,0.008
110,0.0
112,0.016
114,0.0
116,0.0
117,0.008
119,0.008
120,0.038
121,0.0
123,0.19
124,0.0
126,0.008
128,0.0
129,0.366
133,0.0
138,0.0
147,0.0
149,0.014
158,0.0
160,0.0
164,0.0
167,0.002
168,0.062
174,0.012
181,0.0
185,0.012
187,0.2
189,0.0
190,0.002
194,0.004
197,0.614
198,0.0
201,0.01
205,0.0
208,0.166
211,0.006
216,0.002
219,0.058
223,0.0
224,0.028
226,0.0
229,0.0
230,0.004
237,0.0
238,0.0
240,0.048
243,0.0
245,0.052
246,0.472
247,0.062
248,0.018
249,0.0
250,0.184
251,0.01
255,0.164
256,0.002
257,0.204
260,0.07
261,0.0
263,0.326
264,0.006
267,0.032
268,0.0
272,0.024
274,0.01
275,0.01
277,0.386
278,0.274
280,0.044
281,0.06
282,0.382
283,0.026
284,0.134
286,0.0
290,0.026
291,0.0
293,0.016
295,0.012
297,0.0
298,0.71
300,0.008
304,0.0
305,0.004
308,0.0
309,0.0
310,0.006
312,0.0
313,0.034
315,0.004
317,0.0
318,0.002
321,0.004
323,0.096
325,0.0
326,0.0
327,0.03
328,0.356
329,0.0
330,0.0
331,0.0
334,0.01
335,0.0
336,0.02
337,0.046
338,0.0
339,0.0
341,0.374
343,0.096
346,0.01
348,0.0
350,0.244
351,0.0
352,0.0
357,0.002
358,0.002
360,0.0
361,0.0
364,0.034
365,0.0
366,0.0
367,0.0
368,0.0
370,0.002
372,0.0
376,0.0
377,0.02
379,0.04
380,0.0
381,0.0
385,0.0
386,0.01
389,0.022
391,0.126
392,0.0
393,0.002
395,0.0
396,0.0
397,0.008
398,0.0
399,0.012
400,0.036
401,0.018
403,0.0
405,0.0
406,0.018
409,0.0
411,0.0
413,0.01
418,0.0
419,0.0
422,0.0
424,0.26
425,0.004
427,0.0
430,0.0
431,0.0
434,0.0
435,0.0
437,0.128
438,0.0
439,0.134
442,0.024
446,0.006
450,0.21
451,0.0
452,0.002
454,0.0
455,0.004
463,0.018
464,0.0
465,0.032
467,0.002
468,0.004
470,0.0
472,0.194
473,0.0
475,0.004
476,0.002
479,0.0
481,0.002
483,0.0
484,0.024
486,0.004
487,0.0
491,0.0
494,0.002
495,0.022
497,0.006
498,0.014
499,0.02
503,0.0
504,0.008
505,0.0
506,0.032
507,0.0
508,0.072
509,0.028
510,0.15
511,0.006
512,0.0
516,0.0
518,0.008
519,0.0
520,0.002
521,0.0
522,0.0
524,0.156
